@relation 'opinion'
@attribute 'doc' string
@attribute '$class' {-1, 1}

@data
"entire miserable bad slim hilarious genuine trite formulaic low believable insensitive bigoted insensitive bigoted mass insensitive bigoted unfunny necessary entire noticeable funny ", -1
"available red main hot other same acting front whole nude most big huge ", -1
"most arrogant irresponsible Colombian cliched dumb Colombian naked pitiful notable one-dimensional cliched gratuitous cheesy most lousy least previous good Colombian ", -1
"alien rational endless new homicidal third friendly repeating willing intact naive cool old entire sudden unseen bad clear English sufficient ultimate bad wrong old worthy extra main meaningful close miraculous concentrated national successful last ready close subtle pointy worthy giant angry late particular modern sudden several loud bad undeserved physical most hideous unspoken ", -1
"amateurish overwrought documentary inane bad suspected unbelievable many only ", -1
"stupid brainless great interesting imaginative interested old interesting ", -1
"first snappy stylish recent great real internal second last blind great much only watchable bold dynamic satisfying tight enjoyable equal great logical inexplicable solitary ", -1
"insulting original brilliant awful original few favourite awful original disappointed young bad original ", -1
"good only good low terrible sorry re-direct ", -1
"documentary non shaky whole terrible amateurish good many whole mythical biblical real personal real good biblical Jewish Baptist more more telling final religious coy unfair bad awkward good tactile aggressive bad secular real so-called ", -1
"non great proper worth right wrong own good stunning poor ", -1
"few old psychedelic bizarre forgettable requisite cheesy long collective good acid British old huge whole willing ", -1
"good first old realistic thin many interesting tremendous total gross out real ", -1
"intriguing compelling funny entertaining good more such interesting moving funny artistic high bad such shameful talented ", -1
"unique such other unique different clear dull American proper real own little old teenage various real ugly young fateful old homeless teenage same crazy much public few silly first significant underage bright local high teenage first harmless responsible wrong mere much more happy bad terrible possible imaginable atrocious narrative dumb untrue incomprehensible subsequent predictable open mere technical awful bland inappropriate forgettable opposite bad unimpressive special few quick odd long boring bad intentional unique unique unique bad sure ", -1
"Italian terrible chaotic dark fluorescent visual first interesting few interesting complete ", -1
"able cheap cheap real live brilliant unattractive American white horrible own least smart ", -1
"masterful same poor extended foul unnecessary first ", -1
"analog rental real bad late lame lonesome serial sudden first like unsteady horrible first decent unstable awful awful renal left interesting ", -1
"bad low 4th 5th secondary single unbelievable other pathetic shaky steady honest direct conscientious ", -1
"bad good good serious ", -1
"hard next gorgeous wrong hard real real ", -1
"late mean mean 3rd true few 3rd much late ", -1
"red overwhelming one-dimensional worth ", -1
"rough incoherent good young dramatic apparent amateurish untrue ", -1
"total disappointed furious much much much horrible human uncountable pseudo bad ", -1
"real able original scant obvious bold professional martial expert good fair requisite comedic same few comic minor serious many first bad elaborate terrible welcome aforementioned whole new indeterminate original minor new strong more early early abstract more only automatic first short familiar much ridiculous strong short adequate original thorough least original massive bad entertaining unintentional cheap ", -1
"interesting cold hard true very superb very intense cool thin sad other true online ", -1
"bad horrible lame decent special good high ", -1
"sleek sexy multiple intelligent untouched wonderful internal high modern sexual ", -1
"redeeming submissive part-time repeated abusive akin upset female circular only decent horrendous good expensive interested serious most insane lousy sick sick sick ", -1
"little funny little crooked possible much trivial serial serial wrong serial personal boring whopping apparent sharp clean dark human weak many brief exact same willing topless trite bad sparse blind clear ", -1
"hard contrived unbelievable small collusive least happy unpleasant correct beautiful small small thin male saccharine unbelievable wooden contorted small caring small small good ", -1
"hateful cruel long last whiny stupid smart many late-night sadistic pathological most particular suspenseful sick good first ", -1
"perfect new original super bad bad hard more weak predictable horrible good brilliant different bad ", -1
"famous horrible insistent believable brief sheer crude strong good ", -1
"last certain only substandard horrible horrible horrible great bad pasty white complete awful lone hot ", -1
"nervous nervous old classic new scary friendly favorite wick mad great right outstanding original powerful many countless 4th original remote Scottish missing young new missing missing young fiery full many long afraid cloudy eyed blind great great many personal bad ", -1
"rental aged total same single beautiful good entire so-called comedic ", -1
"cheap late early full bad digital cheesy secret bad funny terrible little ridiculous several explosive remote bad bad ludicrous pointless few unscathed explosive past sound confusing cheap cheesy last ", -1
"pure perfect assorted infamous complete few other single interested wrong lame bad ", -1
"bad short-lived same particular old fat Greek many laughable big bloated high good bad fatal ", -1
"bad little young distinct simulated next sad teenage late ", -1
"interesting cogent virtuous many important discernable new pointless ", -1
"first least general tired philosophical long torturous last own vague vague temporary further much last next short more more last martial equal more martial special tiresome long tedious huge red slight content wooden uninspired first real good good consistent consistent first little many evident real sharp first free more tired full philosophical acting stiff good good confused decent cool noble believable same much very physical weird interesting huge disappointing good own stand-alone horrible deep least enjoyable interesting good few funny restrained attentive good 3rd ", -1
"most laughable only interesting last ", -1
"interesting bad hidden serial intriguing slow much other only interesting tedious credible several medical cracked ", -1
"bad free online non related hilarious bad talented unbelievable ", -1
"minor controversial true narcotic ", -1
"flat horrid jarring indiscernible little alien loud obnoxious violent pompous impossible right-wing recent ", -1
"other main bad boring wrong whole only cool only ", -1
"little cynical old bad modern nice nasty dated stupid corny corny corny many entire ultimate old rich beautiful high utter more innocent half ", -1
"dreadful obvious stunning easy fast forward free other open little ", -1
"veteran erotic minuscule dark underground international direct exclusive mysterious great good sleazy explicit gory special many different disappointing remarkable creepy dark only good first ", -1
"last first late awful amateur insipid hard excited poorly worthless few good only only front moronic unintentional third prestige most communal terrible extended other foolish Irish nice ", -1
"old new old flawed mysterious last black white enough ", -1
"whole retarded endless real undefined funny ridiculous same long bad simple convoluted stupid final comparable utter bland lazy pathetic other ultimate bloody undecipherable wild crazy insane same fabled bad cool good chase close least real real then bad boring underwhelming final bad imaginable whole elaborate long super preachy bad only grand bad foreign only reasonable cliffhanging other inner mid real third essential bad original stupid very whole terrible original same bad bad bad many enough short much awful least enough bad disappointing ", -1
"many different scary silent decent afraid incoherent insipid tedious dumb stupid nice Black light able important bad stupid stupid inarticulate dumb tense ", -1
"heavy singular possessed right original new surprise ", -1
"good action-packed unlikely other many Mexican laughable wooden first hot good huge ", -1
"bad personal silver whole wonky stunning personal total surreal bad one-of-a-kind bad hot erotic French bad wretched least ", -1
"nonsensical real fabulous real fuzzy artistic sore certain good only redeeming likely superstitious indistinguishable ", -1
"mediocre subtle ridiculous ridiculous trite little troublesome free predictable pathetic only interesting watchable stunning topless ", -1
"bad bad awful first countless last video black first Asian proud video free gruesome possible old own bare major bad ", -1
"good wrong laughable real flat good flat cardboard good fantastic acting overall improvisational more bad such lovely urban only full low right memorable sure ", -1
"most large third own original dynamic only hard more wonderful true great ", -1
"first flimsy funny second stiff funny third flimsy funny unfunny comic flawed other absolute average much bad like ", -1
"real bad young wet fake good ", -1
"fine animated bizarre 3D funny 3D 3D good ", -1
"full bad low choppy typical timid suave black tough attractive small featured middle heavy clear bad funny ", -1
"big boring bad interesting many American hard confusing resounding dippy such perfect Cambodian secret whatever other other bad insipid insufferable apt ", -1
"bad good tight more more big used several wooden cheap horrendous sure thin apparent full bad more disgruntled east radioactive radioactive flammable cardboard cardboard whole few short tired convinced outside suburban bad young bad good early ", -1
"good own special sweet right uncomfortable itchy weird first interminable first pretentious pretentious top cut-rate cheap nasty pretentious ", -1
"new 10th painful next tiny actual 4th ill bad good dry ersatz ", -1
"bad more hard innate sheer ridiculous limited old good most hard many unproduced last late combative priceless ", -1
"laughable ridiculous short homeless unlikely possible mobile likely last due massive more other familiar high banal little disappointing ", -1
"mindless only flawed contradictive own good sure nice constant such worth ", -1
"impossible deep little true sexual proper sinful dirty such Jewish holy caring own own own such other marital real basic absurd true sad ancient holy homeless good sexual graphic valuable useful Jewish ", -1
"decent potential excellent whole terrible awful special proud ", -1
"enough few digital French autistic only entire awful hilarious grand fake late disappointing whole little only more ", -1
"first good other such excellent dull thrilling terrible whole slow ponderous video ", -1
"stupid stupid stupid still possible idiotic wrong few short brief necessary ", -1
"original favourite old fine humorous silly gross young original superior past ", -1
"bad bad imaginable poor lame perverse apparent funny old first new original ripe good constant violent second successful public original spruce daily poor special basic big unnatural cruel good bad ", -1
"high negative pointless good old stupid cheap indicative general good cheeky ", -1
"ridiculous thin extensive graphic much awful tall huge copious white fake real public ", -1
"slow vague boring same awful big great first ", -1
"fine first shy strong credible much old hammy more only reliable fine bad many good ", -1
"cheated open next many lazy accurate sudden fellow more good ", -1
"usual smarmy egotistical snotty muscular blonde struggling least other optimistic caring whiny boring enough usual nice good-looking young right least juvenile Russian sole wild ignorant shallow usual gay bad lesbian short gay much less tired predictable unlikable idiotic low ", -1
"bad special OK most OK special high other bad full funny first human stupid ", -1
"next bad bad whole bad crazy ", -1
"original lazy American sick rich cheap suburban charming old Hispanic bad most being random random good notable uncomfortable all-out minimal usual dumpy drunk high laughing original arrogant great bad exploitative arrogant original much bad ", -1
"very low untalented first free rude offensive such average able utter ", -1
"bad Brazilian first-time cheap big ready preposterous verbose fanatical catastrophic Brazilian upper-middle spoiled bad visible bad amateur unrelenting bored young wrong accidental moral literal high-class such monomaniacal non-stop much inept shaky terrible sound appalling narcissistic far-fetched phony megalomaniac incapable visual narrative gritty hand-held subjective banal profound hateful preachy disappointing promising young sleepy-eyed emotional effective good top recent risky graphic real typical middle-class abject racist sexist stupid Brazilian present future middle-class recreational fascist dogmatic mind-bending bad harmful insidious Brazilian powerful unwatched unmentioned ", -1
"bad bad brutal useless such awful first same second relative different human sorry bad ", -1
"strong bad pleasing first clear various amusing daily japan obvious single old good bad such noble cardinal torturous interesting standard conceptual unusual simple naive less ", -1
"satisfying boring thin more more important eager nascent cartoonish little much pretentious transcendent worth wrong ", -1
"total main gay first typical good sick thankful little real gay such close personal sudden other bad bearded poor least ugly horrible own dead grotesque flaky other much unsavory little perverted misguided ", -1
"original black black downward creative dangerous least classic other fair small real drunk-driving injured young ", -1
"possible bad first same original original first avid good original original loving new out-of-character new good good horrible poor little original abusive first evil second good other ", -1
"pretty bad bad little suspicious funny Finnish much good good ", -1
"sad beautiful talented horrible attractive frightened 3rd general likable good great passable bad difficult classic small motley stiff wooden old ", -1
"first bad unholy different less bad special low great bad Nazi creepy evil Nazi honest good ", -1
"entertaining illogical bad famous bad British weird British many entire bad more bad different okay okay usual usual usual ", -1
"plain simple other disappointing nice nice unplayable simple standard same general 3rd other less original loyal new more serious other rubbish ", -1
"solid shitty useless new such pathetic big such different other half-naked ", -1
"several thin unoriginal thin bad strong bad entertaining tragic awful decent good ", -1
"bad first popular hot Martial certain great Martial Chinese comedic serious loud funny similar fake corny stupid likable decent only other corny ", -1
"weak tough tough tough fake boring senseless video bad hot whole gay martial minimal good real weak new ", -1
"abysmal stellar terrible many top British good bad pathetic bad awful ", -1
"awful awful whole ", -1
"big talented mediocre several initial golden initial many famous enough big shallow brainless poor whole talented fancy terrible more big ", -1
"many more fake self-conscious wrong wrong particular edgy independent real documentary edgy left self-conscious rarefied bad ", -1
"British good British great good sick good hungry disgusting sick funny disgusting yellow funny cheap honest emotional ", -1
"such repugnant bold overlong real special optical appropriate much only irresponsible obnoxious visual real many human recent new recycled hammy first amazing painful likable unbearable unconvincing Prize-winning wooden usual good only lovely weird-looking big bombastic worth ", -1
"only bad other ", -1
"terrible bad past few able next bad bad much bad entertaining easy embarrassing few boring everyday same ", -1
"only thin horrific special amazing black special atrocious underwater submarine good special only hard core submarine realistic other good aforementioned ", -1
"tortuous emotional degrading adolescent personal bad teen bad bad emotional bad bad psychological bad parental only excellent red blond green bad bad ", -1
"awful past few top bad alive sure shameful simple moronic new ultimate new prime awful atrocious classic predictable imaginable good original usual other lame lame lame lame predictable last alive great pathetic final ", -1
"dangerous other dumb human same great white useless more worth entire good average low-budget ", -1
"terrible stupid corny awful bad hard only enough promiscuous current own like official whopping right redeeming bad horrible special abysmal bad good bad own safe ", -1
"good old old Gothic sprawling bad ", -1
"whole single notorious last bad God-awful Mexican-made terrible frightening outer little different hard terrible nasty slinky little naughty twisted little creepy bizarre personal sure unique ", -1
"hard sure long enjoyable little special substandard flat dull other early sure spirited most talented good useless lovely likely good favourite fond unimpressed pointless talented good poor ", -1
"eager favorite universal solid splendid lucky new graphic good ", -1
"many fake impressive cartoonish disappointing ", -1
"bad sad great ", -1
"ridiculous less decipherable special terrible only obvious ", -1
"worth poor public homely British fine old exciting talented popular serious ludicrous musical famous least real professional ", -1
"mean big bad real sure first clever star video just early bad same monotonous right thrilling same funny much many first bad old good ", -1
"bad last first free only good new least major special horrendous original good bad hilarious gigantic modern bad ", -1
"few polite least main real same kinetic early able heavy ", -1
"minor first most mediocre drab few good 21st great great other huge real terrible poor bad few good complete bad far-fetched normal sick widowed most small large scrupulous only whole full own most secret complex ridiculous possible less stupid long more federal wrong impossible true advanced most terrible familiar evil good small offensive uncalled great many typical hard important endless important workable bad bad single important serious next good ", -1
"British bearded large good few comely needless wrong good orange haired shocking more modest ", -1
"actual different horrible orchestral first audible lesser only remote English French native first own rental such bad ", -1
"second first good other bad naked cliched bad acting most bad ", -1
"dumb smart egregious first strong female able likable most good ", -1
"wrong young main slow stodgy good main fitting awkward many bad psycho total violent crazed disgusting simulated real naive brutal hideous sure pointless young extreme tasteless good own personal ", -1
"good fine original original many razor-sharp good American original most bad poor weak joint such bad pure original first constant appropriate more original distinguished British fine original other much least British straight single obvious original futuristic futuristic original practical functional many original good acting limited brilliant lively further super little other grating decent few good many long believable generic underwhelming more original extraordinary undetected most own own last second theatrical direct main more brief original familiar more original original sophisticated elegant live ", -1
"English afraid same serious imaginative poor big educational ", -1
"real entertaining serious boring other such various large entertaining real disappointing unremarkable only technical ", -1
"poor typical funny lame American so-called funny first rough amateurish good bad little separate stupid bad few only corporate first frustrated other sure exotic only funny funny right serial funny only dry compassionate surreal meek least low ironic clever so-called huge standard crude witty desperate inspired easy funny halfhearted weak other decent regular least classic recent such great comic good old new bad awful next bad putrid ", -1
"bad most humourless bad entertaining horrible much star grizzly horrible acceptable tasteful violent violent last cruel sadistic perverted bad funny awful horrible ", -1
"bad many bad stupid normal identical real mental five-year old lame old rubbish ", -1
"many bad unknown least good most good awful obvious sceptical bad first slow sparse shallow boring predictable terrible clever true meaningless awesome wild poor double OK hard big good bad bad whole whole horrible young innocent appalling bad corny bad good bad rigid pathetic poor cool good ashamed good good other generic teen poor afraid old good terrible favourite good bad bad bad bad ", -1
"bad old good unimaginable ", -1
"brief black correct sure asleep massive good awkward most flat sole final terrible terrible topless sad good attractive other routine innovative whole confusing huge interesting main innocent prevalent terrible main other cool most horrible horrible many much enjoyable ", -1
"annoyed bad annoyed ", -1
"obvious overt monstrous last more good unimaginative common wide several hard spatial medium drab basic flat muddy hard available trite most enthusiastic nice silly bad unaware unconvincing chunky little incidental uneven nice good less flat doubtful special main own high quick more entertaining ardent extra ", -1
"good awesome sleepless situational only many through big Irish famous usual stimulating interesting certain good other other other stimulating most okay good good good cathartic unnecessary quotable personal most meaningful silly one-dimensional unnatural necessary enough shallow less good first second inconsequential bad thin bad terrible fancy passable possible easy good bad good bad ", -1
"worthless derivative inferior psychological good real sufficient only memorable more other much real difficult video old video violent mainstream subtle video above popular special ambiguous more cold many small great exceptional expensive cold more expensive real wrong old good video primitive short obscene cold whole other various slow interesting video weak ", -1
"embarrassing failed same live juicy funny disappointing original awful special awful favorite quick silly ", -1
"remote loose bad original bad Jurassic usual mad expendable long dark brain-dead teen horrible special bad stiff plush computer-generated life-like awful most unconvincing bad bad downright interesting superior ", -1
"sleazy bad trashy bad bad bad academic bad ", -1
"enjoyable main naive young good most engaging particular natural well-balanced complex key whole slick vibrant atmospheric rich identifiable foreign Australian ", -1
"bad bad bad little video other occasional cheap dumbstruck bad ", -1
"bad only funny able necessary bottom ", -1
"thin few first ordinary alive good long different famous handsome young complete nude bad ", -1
"weak tedious dreadful ", -1
"bad next enjoyable black still bad good sure special terrible ", -1
"similar possessive beloved adenoidal rich last first content father-daughter uncomfortable sexual possible vacuous strange good other much orthodox British memorable entire empty major horrible fatal uncomfortable ", -1
"bad acting impossible local more qualified possible unfortunate cool local technical public least special good attractive ", -1
"stupid plain weird real naughty nice naughty plain bad few gory fake most crazy trite terrible slack-jawed sure poor scary original terrible ", -1
"aware possible unable aforementioned distracting continuous interested remote ", -1
"safe bad second low cheap awake so-called weird horny typical obvious impossible predictable dull stereotyped ", -1
"bad ", -1
"first good awful teen snotty cool creepy local virginal awful rough bad funny ", -1
"video same simple homicidal eating halfway sane dead halfway cheap acting wooden first good poor ", -1
"sadistic bad Spanish evil next big ", -1
"only big main many single serious much needed simply ", -1
"whole cautionary lost bad inconsistent little bad patronizing pointless graphic repetitious big edgy natural sensitive former shocking outside worthy ham-handed low ", -1
"first different Mexican Russian main black good many full important many main Russian special first first open much much ", -1
"various particular other ridiculous difficult main only redeeming budding ", -1
"low non other happy big ", -1
"unresolved colonial Western Francophone complex psychoanalytical young engaging challenging young traumatic particular other undeniable contemporary political economic symbolic limited unconvincing totemic contemporary French indifferent same more forgettable black least impressionistic former poor dark moribund ", -1
"high obscure mental drunk Irish creepy drunk Irish bad sure overnight other off certain most cheated ", -1
"harsh first good top great original good least different naked naked original wrong more sexual real least original good sure bad good first ", -1
"young small practical other old unknown new horrific local local similar more strange horrific demonic dull slow least interesting exciting boring few entire very short static flat dull several rubbish real ", -1
"big cinematic beautiful obsequious questionable criminal irritable certain overwrought cinematic long fractured painful ceaseless pretentious animated sedate cinematic trite shocking remedial embarrassing filmic wretched bad ", -1
"English many other familiar bad bad unrealistic most mini few real whole stupid more other straight nasty dead simple hard sure good inaccurate American foreign underground small ", -1
"overall last long progressive first good mighty nice total same new different appreciative worthy same other other many Dutch extreme lame bad great good Hindi more soft pathetic forgotten black white successful first good good pathetic great only satisfactory least utter close degrading true weak ", -1
"awful hard right narrow-minded good boring untalented cheesy good whole lousy similar bad ", -1
"great great awful whole good funny stupid hilarious good ", -1
"good stupid good awful few bloody dead fabulous special interesting female naked poor terrible sorry bad ", -1
"glowing bad big pathetic grainy ex-military other good old painful ", -1
"good OK more boring main believable tough stupid bad uninteresting bland lame big bad ", -1
"good slow dour right watchable favorable awful laggard American fellow flat sexual staple British laughable unfunny bad good ", -1
"entertaining painful awful deliberate futile childish unrehearsed dreadful dreadful responsible ", -1
"bottom harsh low big little few unsuspecting abandoned unsuspecting poor special OK believable OK great more good poor famous comedic worth ", -1
"squeamish incomprehensible boring pretentious confusing slow depressing thinking original enough good available ", -1
"terrible Chinese wrong many incorrect only Chinese cheesy fake many great funny stupid bad possible more Chinese extravagant accurate ", -1
"video short most horrendous little corny first same most big alien powerless routine interesting enough other more old western real black white good few silly swirling serious depressed loud comic original virtual real other funny video green more green odd least cheap ", -1
"terrible serious apocalyptic huge other good inept good bad asleep cheesy ridiculous good lame sad bad reasonable plausible acting surly old middle ", -1
"young genetic human able single little new very further only small video light main green only rid ", -1
"racist racist good many countless ham-fisted predictable most brutal sluggish most cartoonish one-dimensional lesbian angry black possible overpopulated angry black cheated shifty obvious big violent violent gritty bad evil bad new bold clumsy anti-Nazi hard controversial predictable cartoonish stupid ", -1
"nonsensical such own true possible close possible contrary possible possible less established well-founded stupid ", -1
"black nice real nice nice black black hard decent black low low first obvious average ", -1
"single single other sad pathetic much non-existent realistic believable obligatory attractive straight ", -1
"bad horrendous plain more low difficult good early Jurassic familiar worth ", -1
"bad true futuristic weird futuristic lame horrible amazing tough enough normal acting unbearable bad bad famous awful puerile immature rude entire futuristic funny nonstop straight weird violent pretty original huge exact same bad bad huge good bad deserving straight mild crude ", -1
"only interesting entire near more ", -1
"good good big same musical American European more independent similar common original simple-minded disappointing bad underage poor big bad poor bad simple black white good very sexual difficult complex original disturbing disappointing ", -1
"endless lesbian boring only only good bad video televised ", -1
"great stark black white dopey ", -1
"good very good romantic unfeeling ", -1
"such black gay giant forced unfunny such good amateurish crude crude stupid funny same repellent unfunny funny nice mad dumb fake ", -1
"terrible good horrendous serious amateur interesting new terrible original good decent terrible least ", -1
"wretched little original third final ridiculous whole jumped-up fine demonic unforgivable first usual bad ashamed good ", -1
"terrible many old enormous popular eager supposed supernatural late major real entire great terrific few crazy many awful essential lame last wretched many much original many ", -1
"facial whole ", -1
"American national cute terrible exact young video bad ", -1
"large passionate wise main goofy well-meaning humorous gorgeous inevitable unlikely careless evil brutal sharp tired ", -1
"original top right cautious old ashamed terrifying innovative superb new clever special sad such different ", -1
"bad safe last bad only stupid amazing much constant constant main inane pretentious angry relentless complete utter inept chubby little con incurable bad third small positive dry similar previous smart amusing unfunny full main funny fair good satisfying last amusing fast free angry ", -1
"little utter first bad sad whole awful first supposed naked ", -1
"independent amateur civil aware same nice major overnight little separate Christian gay tribal minor laughable gay next ", -1
"utter awful OK special OK interesting logical utter scary scary least small shallow special most curious awful ", -1
"sad obvious short total cinematic overblown full interested grand nitty gritty individual feeble tiny old usual ", -1
"funny old sad stupid little stupid humorous sweet little innocent 1st disappointed ", -1
"slow cold dark tried true European important valuable huge ", -1
"good new titanic devastating great good same high first more stupid true similar cheesy serious fine sappy real great genuine long cold intelligible technological little anonymous old interested ", -1
"inside awful ridiculous good funny real many archeological aspiring witty unconventional ugly little extra terrestrial off creepy next bad lazy more heavy rich quick dumb few more bad good awful least rid bad poor special bad young homicidal actual good able good ", -1
"glad bad dull other good old ", -1
"naked more due scary bloody bad usual ", -1
"bad funny sad poignant droll ashamed ", -1
"only boring boring boring suitable little cheap good awful awful awful redeeming worth ", -1
"subsequent inevitable small religious enough such common many sure fourth shameless shameless new intriguing unique genuine guardian original common chock-full unintentional due first previous auditory absolute lousy musical long interested weathered such ", -1
"last bad most grainy stupid low ", -1
"great stupid pointless more teen perfect bad funny good dull bad ", -1
"old first many old remote upper busy social flirtatious flirtatious flirtatious weak young full ", -1
"bad other possible new putrid acting bad only same stereotypical stupid exotic cute least same imbecilic dumb different stupid artificial good smart bad cinematic bad good only good pathetic cool hilarious less ", -1
"healthy 20-year-old Vidal funny local smart trendy gross sloppy slight bad young legendary believable 77-year-old awful ", -1
"proper religious unimaginable evil unimaginable old big willing unfortunate religious first more other religious off video false bad ", -1
"negative horrible unbelievable good pointless least good only martial disappointing early devoid bad bad same scraggly ", -1
"due several memorable ill-mannered young old like late ", -1
"good last good cool female good ", -1
"overwhelming journalistic emotional negative predictable civil unexpected governmental symptomatic destitute doctrinal symptomatic fascist analytical few vice first neutral asinine large unthinking least reliable same further ", -1
"second stupid random terrible bad ", -1
"recent devoid devoid big fat spoiled bratty unrepentant American organized greedy violent corrupt same paltry same lunar much pop-up brilliant tired bored self-serving irredeemable more many Italian enough good good fresh same busy good good last few new over-priced much much good prior late worthless kind ", -1
"bad long cardboard only dire horrible big double-decker sexist unsympathetic evil wanton poor innocent married underage able horrible ", -1
